000020,KR7000020008,0,00001,9440,1
000040,KR7000040006,0,00001,537,1
000050,KR7000050005,0,00001,10600,1
000060,KR7000060004,0,00001,22000,1
000070,KR7000070003,0,00001,74600,1
000075,KR7000071001,0,00001,47700,1
000080,KR7000080002,0,00001,20850,1
000087,KR7000082008,0,00001,16150,1
000100,KR7000100008,0,00001,243500,1
000105,KR7000101006,0,00001,210000,1
000120,KR7000120006,0,00001,146000,1
000140,KR7000140004,0,00001,9200,1
000145,KR7000141002,0,00001,9670,1
000150,KR7000150003,0,00001,99200,1
000155,KR7000151001,0,00001,74200,1
000157,KR7000152009,0,00001,75800,1
000180,KR7000180000,0,00001,1945,1
000210,KR7000210005,0,00001,104000,1
000215,KR7000211003,0,00001,43350,1
000220,KR7000220004,0,00001,11550,1
000225,KR7000221002,0,00001,7550,1
000227,KR7000222000,0,00001,19150,1
000230,KR7000230003,0,00001,13350,1
000240,KR7000240002,0,00001,16850,1
000270,KR7000270009,0,00001,40800,1
000300,KR7000300004,0,00001,895,1
000320,KR7000320002,0,00001,12450,1
000325,KR7000321000,0,00001,20700,1
000370,KR7000370007,0,00001,4310,1
000390,KR7000390005,0,00001,5850,1
000400,KR7000400002,0,00001,2410,1
000430,KR7000430009,0,00001,4365,1
000480,KR7000480004,0,00001,85900,1
000490,KR7000490003,0,00001,5620,1
000500,KR7000500009,0,00001,18000,1
000520,KR7000520007,0,00001,27900,1
000540,KR7000540005,0,00001,4530,1
000545,KR7000541003,0,00001,5710,1
000547,KR7000542001,0,00001,24200,1
000590,KR7000590000,0,00001,62000,1
000640,KR7000640003,0,00001,100000,1
000650,KR7000650002,0,00001,73600,1
000660,KR7000660001,0,00001,68000,1
000670,KR7000670000,0,00001,722000,1
000680,KR7000680009,0,00001,3140,1
000700,KR7000700005,0,00001,8160,1
000720,KR7000720003,0,00001,50700,1
000725,KR7000721001,0,00001,163500,1
000760,KR7000760009,0,00001,17150,1
000810,KR7000810002,0,00001,275500,1
000815,KR7000811000,0,00001,190500,1
000850,KR7000850008,0,00001,42150,1
000860,KR7000860007,0,00001,25150,1
000880,KR7000880005,0,00001,26150,1
000885,KR7000881003,0,00001,31550,1
00088K,KR700088K015,0,00001,13500,1
000890,KR7000890004,0,00001,1300,1
000910,KR7000910000,0,00001,7000,1
000950,KR7000950006,0,00001,17200,1
000970,KR7000970004,0,00001,9730,1
000990,KR7000990002,0,00001,15300,1
000995,KR7000991000,0,00001,44500,1
001020,KR7001020007,0,00001,950,1
001040,KR7001040005,0,00001,100000,1
001045,KR7001041003,0,00001,52500,1
001060,KR7001060003,0,00001,32350,1
001065,KR7001061001,0,00001,28250,1
001067,KR7001062009,0,00001,45300,1
001070,KR7001070002,0,00001,20650,1
001080,KR7001080001,0,00001,19200,1
001120,KR7001120005,0,00001,16700,1
001130,KR7001130004,0,00001,203500,1
001140,KR7001140003,0,00001,1990,1
001200,KR7001200005,0,00001,2575,1
001210,KR7001210004,0,00001,3525,1
001230,KR7001230002,0,00001,6350,1
001250,KR7001250000,0,00001,2630,1
001260,KR7001260009,0,00001,11500,1
001270,KR7001270008,0,00001,20800,1
001275,KR7001271006,0,00001,19250,1
001290,KR7001290006,0,00001,2345,1
001340,KR7001340009,0,00001,2865,1
001360,KR7001360007,0,00001,2640,1
001380,KR7001380005,0,00001,2025,1
001390,KR7001390004,0,00001,12300,1
001420,KR7001420009,0,00001,4810,1
001430,KR7001430008,0,00001,17950,1
001440,KR7001440007,0,00001,879,1
001450,KR7001450006,0,00001,30900,1
001460,KR7001460005,0,00001,239000,1
001465,KR7001461003,0,00001,138000,1
001470,KR7001470004,0,00001,874,1
001500,KR7001500008,0,00001,9850,1
001510,KR7001510007,0,00001,688,1
001515,KR7001511005,0,00001,3470,1
001520,KR7001520006,0,00001,1845,1
001525,KR7001521004,0,00001,8490,1
001527,KR7001522002,0,00001,10400,1
001529,KR7001523000,0,00001,31600,1
001530,KR7001530005,0,00001,87400,1
001550,KR7001550003,0,00001,24550,1
001560,KR7001560002,0,00001,6570,1
001570,KR7001570001,0,00001,2255,1
001620,KR7001620004,0,00001,862,1
001630,KR7001630003,0,00001,109000,1
001680,KR7001680008,0,00001,26150,1
001685,KR7001681006,0,00001,13300,1
001720,KR7001720002,0,00001,57600,1
001725,KR7001721000,0,00001,52300,1
001740,KR7001740000,0,00001,4975,1
001745,KR7001741008,0,00001,81000,1
001750,KR7001750009,0,00001,7410,1
001755,KR7001751007,0,00001,8440,1
001770,KR7001770007,0,00001,23100,1
001780,KR7001780006,0,00001,2540,1
001790,KR7001790005,0,00001,20300,1
001795,KR7001791003,0,00001,12850,1
001799,KR7001793009,0,00001,25050,1
001800,KR7001800002,0,00001,17000,1
001820,KR7001820000,0,00001,53400,1
001880,KR7001880004,0,00001,17950,1
001940,KR7001940006,0,00001,14150,1
002020,KR7002020006,0,00001,18600,1
002025,KR7002021004,0,00001,12800,1
002030,KR7002030005,0,00001,123500,1
002070,KR7002070001,0,00001,6600,1
002100,KR7002100006,0,00001,15950,1
002140,KR7002140002,0,00001,2180,1
002150,KR7002150001,0,00001,9080,1
002170,KR7002170009,0,00001,63400,1
002200,KR7002200004,0,00001,21000,1
002210,KR7002210003,0,00001,20200,1
002220,KR7002220002,0,00001,2045,1
002240,KR7002240000,0,00001,24100,1
002270,KR7002270007,0,00001,557000,1
002300,KR7002300002,0,00001,18050,1
002310,KR7002310001,0,00001,38850,1
002320,KR7002320000,0,00001,39900,1
002350,KR7002350007,0,00001,10400,1
002355,KR7002351005,0,00001,4205,1
002360,KR7002360006,0,00001,1275,1
002380,KR7002380004,0,00001,263500,1
002390,KR7002390003,0,00001,26500,1
002410,KR7002410009,0,00001,1795,1
002420,KR7002420008,0,00001,72700,1
002450,KR7002450005,0,00001,1955,1
002460,KR7002460004,0,00001,13850,1
002600,KR7002600005,0,00001,178000,1
002620,KR7002620003,0,00001,22300,1
002630,KR7002630002,0,00001,565,1
002690,KR7002690006,0,00001,2910,1
002700,KR7002700003,0,00001,2760,1
002710,KR7002710002,0,00001,2615,1
002720,KR7002720001,0,00001,5200,1
002760,KR7002760007,0,00001,2355,1
002780,KR7002780005,0,00001,2250,1
002785,KR7002781003,0,00001,4810,1
002787,KR7002782001,0,00001,13900,1
002790,KR7002790004,0,00001,66900,1
002795,KR7002791002,0,00001,28450,1
002810,KR7002810000,0,00001,15800,1
002820,KR7002820009,0,00001,4940,1
002840,KR7002840007,0,00001,43400,1
002870,KR7002870004,0,00001,1310,1
002880,KR7002880003,0,00001,1100,1
002900,KR7002900009,0,00001,1740,1
002920,KR7002920007,0,00001,2990,1
002960,KR7002960003,0,00001,343500,1
